CONDUIT & FITTINGS,CONDUIT & FITTINGS,,,,,,,,
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,,,,,,,,
"INSULATED STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","2-1/2""",6.68,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","3""",8.63,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","3-1/2""",12.6,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED STEEL COMPRESSION EMT CONNECTORS, RAINTIGHT","4""",13,10.3,,0.25,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST INDENT OFFSET EMT CONNECTORS,DIE CAST INDENT OFFSET EMT CONNECTORS,,,,,,,,
DIE CAST INDENT OFFSET EMT CONNECTORS,"1/2""",1.41,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST INDENT OFFSET EMT CONNECTORS,"3/4""",1.95,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW OFFSET EMT CONNECTORS,DIE CAST SET SCREW OFFSET EMT CONNECTORS,,,,,,,,
DIE CAST SET SCREW OFFSET EMT CONNECTORS,"1/2""",1.78,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW OFFSET EMT CONNECTORS,"3/4""",2.58,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW OFFSET EMT CONNECTORS,"1""",3.71,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
"STEEL COMPRESSION OFFSET EMT CONNECTORS, RAINTIGHT","STEEL COMPRESSION OFFSET EMT CONNECTORS, RAINTIGHT",,,,,,,,
"STEEL COMPRESSION OFFSET EMT CONNECTORS, RAINTIGHT","1/2""",2.72,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
"STEEL COMPRESSION OFFSET EMT CONNECTORS, RAINTIGHT","3/4""",3.94,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
"STEEL COMPRESSION OFFSET EMT CONNECTORS, RAINTIGHT","1""",4.37,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
INDENT EMT COUPLINGS,INDENT EMT COUPLINGS,,,,,,,,
INDENT EMT COUPLINGS,"1/2""",0.47,2.05,,0.05,,Ea,L1: [$41.03] - (1 electrician),L1
INDENT EMT COUPLINGS,"3/4""",0.92,2.46,,0.06,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT COUPLINGS,DIE CAST SET SCREW EMT COUPLINGS,,,,,,,,
DIE CAST SET SCREW EMT COUPLINGS,"1/2""",0.3,2.05,,0.05,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT COUPLINGS,"3/4""",0.47,2.46,,0.06,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT COUPLINGS,"1""",0.81,3.28,,0.08,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT COUPLINGS,"1-1/4""",1.4,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT COUPLINGS,"1-1/2""",2.14,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT COUPLINGS,"2""",2.85,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT COUPLINGS,"2-1/2""",5.47,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT COUPLINGS,"3""",6.24,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT COUPLINGS,"3-1/2""",7.22,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT COUPLINGS,"4""",8.82,10.3,,0.25,,Ea,L1: [$41.03] - (1 electrician),L1
INDENTER TOOLS,INDENTER TOOLS,,,,,,,,
