id,part,upc,cost,updated upc
2212,18/2 FIRE ALARM NON-SHIELDED PLENUM RED JACKET,7940783565,0,3288688132
2535,18/2 FIRE ALARM SHIELDED PLENUM RED JACKET,7940783606,0,3288688102
2526,18/2 NON-SHIELDED PLENUM NATURAL JACKET,7940783165,0,3288688132
1533,18/2 SHIELDED NON-PLENUM GRAY JACKET,7940783107,0,3288688295
2583,18/2 SHIELDED PLENUM NATURAL JACKET,7940783135,0,2989237987
2328,18/4 NON-SHIELDED PLENUM NATURAL JACKET,7940783170,0,2989235565
2581,18/4 SHIELDED NON-PLENUM GRAY JACKET,7940783114,0,2989235565
566,18/4 WHITE THERMOSTAT WIRE,2989200823,0,2989235408
1302,18X18X4 NEMA1 BOX NO KOs SCREW COVER,78672531491,0,71767807961
1802,1G 2.15 DIAMETER OUTLET COVER IVORY,3266475118,0,68785577655
2304,1G BLANK COVER BLACK,3266455520,0,78500727476
2358,1G BLANK COVER GRAY,3266449250,0,78500727476
1719,1G BLANK COVER LIGHT ALMOND,3266457921,0,78500727476
1750,1G BLANK COVER LIGHT ALMOND,3266458296,0,78500727476
1717,1G BLANK COVER LIGHT ALMOND,3266475127,0,78500727476
1774,1G BLANK COVER MIDSIZED COVER BROWN,3266457916,0,78500727476
1776,1G BLANK COVER MIDSIZED COVER GRAY,3266457918,0,78500727476
1778,1G BLANK COVER MIDSIZED COVER IVORY,3266475128,0,78500727476
1779,1G BLANK COVER MIDSIZED COVER WHITE,3266475129,0,78500727476
1789,1G BLANK COVER MIDSIZED COVER WHITE,3266457926,0,78500727476
2126,1G BLANK MIDSIZE COVER BLACK,3266457917,0,78500727476
2139,1G DECORA COVER BLACK,3266455516,0,78500727511
515,1G DECORA COVER BROWN,3266415220,0,78500727511
2291,1G DECORA COVER GRAY,3266443380,0,78500727511
516,1G DECORA COVER IVORY,3266415230,0,78500727511
517,1G DECORA COVER WHITE,3266415240,0,78500727511
1775,1G DECORA MIDSIZED COVER,3266457995,0,78500727511
1773,1G DECORA MIDSIZED COVER BROWN,3266457994,0,78500727511
1777,1G DECORA MIDSIZED COVER GRAY,3266458003,0,78500727511
1781,1G DECORA MIDSIZED COVER IVORY,3266475143,0,78500727511
1721,1G DECORA MIDSIZED COVER LIGHT ALMOND,3266475142,0,78500727511
1785,1G DECORA MIDSIZED COVER WHITE,3266475144,0,78500727511
2605,1G DECORA MIDSIZED SCREWLESS COVER WHITE,3266461727,0,78500727511
2297,1G DUPLEX RECEPTACLE COVER BLACK,3266475223,0,78500727455
1215,1G DUPLEX RECEPTACLE COVER BROWN,3266415530,0,78500727455
534,1G DUPLEX RECEPTACLE COVER GRAY,3266475198,0,78500727455
2391,1G DUPLEX RECEPTACLE COVER IVORY,3266415170,0,78500727455
1708,1G DUPLEX RECEPTACLE COVER MIDSIZED BLACK,3266458081,0,78500727455
1707,1G DUPLEX RECEPTACLE COVER MIDSIZED BROWN,3266458080,0,78500727455
1709,1G DUPLEX RECEPTACLE COVER MIDSIZED GRAY,3266458088,0,78500727455
1710,1G DUPLEX RECEPTACLE COVER MIDSIZED IVORY,3266475157,0,78500727455
1706,1G DUPLEX RECEPTACLE COVER MIDSIZED LIGHT ALMOND,3266475155,0,78500727455
1711,1G DUPLEX RECEPTACLE COVER MIDSIZED WHITE,3266475159,0,78500727455
2189,1G DUPLEX RECEPTACLE STAINLESS STEEL MIDSIZED COVER,3266453837,0,78500712910
2389,1G DUPLEX RECEPTACLE WHITE HOSPITAL GRADE,3266415180,0,78500712910
1751,1G DUPLEX RECEPTALE COVER LIGHT ALMOND,3266458298,0,78500712910
2769,1G HORIZONTAL LOUVER LED MINI STEP LIGHT w/ LIGHT ALMOND COVER,3266472862,0,78392735259
503,1G IVORY BLANK COVER,3266449240,0,78500727476
2636,1G SINGLE RECEPTACLE COVER BLACK,3266458058,0,78500727448
1720,1G SINGLE RECEPTACLE COVER MIDSIZED LIGHT ALMOND,3266475119,0,78500727448
2194,1G SINGLE RECEPTACLE COVER WHITE,3266458051,0,78500727448
1950,1G STAINLESS STEEL DECORA COVER,3266453745,0,78500712926
2154,1G STAINLESS STEEL DECORA COVER,3266453835,0,78500712926
1398,1G STAINLESS STEEL DUPLEX RECEPTACLE COVER,3266453838,0,78500712926
3202,1G STAINLESS STEEL DUPLEX RECEPTACLE COVER,3266474728,0,78500712926
3274,1G STAINLESS STEEL SINGLE RECEPTACLE 1.59 DIAMETER COVER,3266474730,0,78500712961
1432,1G STAINLESS STEEL SINGLE RECEPTACLE COVER,3266451961,0,78500712961
3270,1G STAINLESS STEEL TOGGLE SWITCH COVER,3266474725,0,78500712900
